,PB110_D1,PB122_E_S47_L005_R1_001,PB149_E,PB205_D1_GTGGCC_L004_R1,PB214_B6_CAACTA_L001_R1,PNIBD01_D_S22_L002_R1_001,PNIBD47_G,PNIBD51_D
hsa-mir-150-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-150-5p,37473.1764,19140.99112,6432.727269,49547.48084,19474.07958,4519.869361,13949.5229,42268.57684
hsa-mir-150-5p_-_1,0,0,0,0,0,0,0,14.6124751
hsa-mir-150-5p_-_2,124.4037579,138.7267691,84.07829726,123.0381943,45.80478279,40.7739635,70.34763849,170.0360739
hsa-mir-150-5p_+_1,0,39.63621975,36.87644617,0,0,0,99.31431316,0
hsa-mir-150-5p_+_2,0,0,23.60092555,0,14.09377932,0,0,71.73396868
hsa-mir-150-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-150-5p_+_4,0,0,0,0,0,0,53.79525296,0
hsa-mir-150-5p_+_5,0,0,0,0,0,0,0,0
hsa-mir-150-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-150-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-151a-3p,12325.18712,13205.46721,16216.78597,10162.95485,11414.19953,26264.47308,16002.01871,15792.10036
hsa-mir-151a-3p_-_1,184.3018635,280.7565566,203.5579828,218.3927948,250.1645829,437.9425709,322.7715178,269.666586
hsa-mir-151a-3p_-_2,1640.286585,1915.750621,3177.274602,1716.38281,1670.993711,3391.789704,2640.105491,1846.48549
hsa-mir-151a-3p_-_3,0,0,22.1258677,0,0,0,0,0
hsa-mir-151a-3p_-_5,0,0,0,0,0,0,0,0
hsa-mir-151a-3p_-_6,0,0,0,0,0,0,0,0
hsa-mir-151a-3p_+_1,59.89810565,102.3935677,159.3062474,76.89887142,66.94545177,143.4639456,186.2143372,38.52379799
hsa-mir-151a-3p_+_2,0,39.63621975,33.92633047,0,33.47272589,54.36528466,91.0381204,0
hsa-mir-151a-3p_+_3,0,0,0,0,0,0,0,0
hsa-mir-151a-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-151a-5p,2994.905282,1905.841566,1969.202225,2789.891055,2596.77884,3814.630807,2710.45313,2687.367012
hsa-mir-151a-5p_-_1,0,89.18149444,45.72679325,43.063368,35.2344483,191.7886431,70.34763849,151.4383783
hsa-mir-151a-5p_+_1,0,0,36.87644617,0,0,0,0,0
hsa-mir-151a-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-151b,414.679193,270.8475016,146.0307268,366.038628,360.2722339,220.4814322,244.1476865,377.267539
hsa-mir-151b_-_1,0,0,0,0,0,0,0,0
hsa-mir-151b_-_2,0,0,0,0,0,0,0,0
hsa-mir-152,1216.392299,1694.448394,864.3838981,1122.723523,2526.309943,1698.915146,960.0383605,1320.436386
hsa-mir-152_-_1,0,0,0,0,0,0,0,0
hsa-mir-152_+_1,0,0,0,0,0,0,0,0
hsa-mir-152_+_2,0,0,0,0,11.4511957,0,0,0
hsa-mir-152_+_3,0,0,0,0,0,0,0,0
hsa-mir-152_+_4,0,0,0,0,0,0,0,0
hsa-mir-152_+_6,0,0,0,0,0,0,0,0
hsa-mir-153-1,73.72074541,79.2724395,36.87644617,58.44314228,140.9377932,63.42616544,57.93334934,34.53857751
hsa-mir-153-1_+_1,0,0,0,0,0,0,0,0
hsa-mir-153-2,73.72074541,79.2724395,36.87644617,58.44314228,140.9377932,63.42616544,57.93334934,34.53857751
hsa-mir-153-2_+_1,0,0,0,0,0,0,0,0
hsa-mir-1537,0,0,0,0,0,0,0,0
hsa-mir-1537_-_2,0,0,0,0,0,0,0,0
hsa-mir-1537_+_1,0,0,0,0,0,0,0,0
hsa-mir-1538,0,0,0,0,0,0,0,33.21017068
hsa-mir-1538_-_5,0,0,0,0,0,0,0,0
hsa-mir-1538_+_1,0,0,0,0,0,0,0,0
hsa-mir-1538_+_2,0,0,0,0,0,0,0,0
hsa-mir-1538_+_3,0,0,0,0,0,0,0,0
hsa-mir-154-3p,0,0,0,0,0,0,0,17.26928876
hsa-mir-154-5p,0,0,39.82656186,0,37.87703193,22.65220194,0,0
hsa-mir-154-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-155-3p,0,0,0,0,0,0,0,0
hsa-mir-155-5p,11928.93812,12951.1348,10149.87304,19778.38973,3343.749144,3864.465651,14859.90411,18274.89272
hsa-mir-155-5p_-_1,0,36.33320144,32.45127263,0,0,0,0,57.12149358
hsa-mir-155-5p_+_1,115.1886647,115.6056409,112.1043963,187.6332463,25.54497502,0,136.5571806,59.77830723
hsa-mir-155-5p_+_2,0,0,0,0,13.21291811,0,0,0
hsa-mir-155-5p_+_3,0,0,0,79.97482628,0,0,0,0
hsa-mir-155-5p_+_4,0,0,0,0,0,0,0,14.6124751
hsa-mir-155-5p_+_5,0,0,0,0,0,0,0,0
hsa-mir-155-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-155-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-155-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-15a-3p,0,0,0,0,0,0,0,0
hsa-mir-15a-5p,7316.783982,4108.954781,3001.742718,9673.878025,3497.018994,1051.06217,3045.638937,2323.383541
hsa-mir-15a-5p_-_1,0,0,0,0,0,0,0,0
hsa-mir-15a-5p_-_2,0,0,0,0,0,0,0,0
hsa-mir-15a-5p_+_1,0,0,0,0,0,0,0,0
hsa-mir-15a-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-15a-5p_+_3,0,0,41.30161971,0,0,0,0,0
hsa-mir-15a-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-15a-5p_+_5,0,0,0,0,0,0,0,0
hsa-mir-15a-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-15a-5p_+_7,0,0,0,0,0,0,78.62383125,0
hsa-mir-15a-5p_+_8,0,0,23.60092555,0,0,0,0,0
hsa-mir-15b-3p,119.7962113,105.696586,38.35150401,181.4813366,18.49808536,27.18264233,244.1476865,39.85220482
hsa-mir-15b-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-15b-5p,857.0036654,776.2093034,824.5573363,808.9761274,377.0085968,585.9369569,1100.733638,484.868492
hsa-mir-15b-5p_-_1,0,0,0,0,0,0,0,0
hsa-mir-15b-5p_+_1,0,0,0,0,0,0,0,0
hsa-mir-15b-5p_+_3,0,0,0,0,0,0,0,14.6124751
hsa-mir-15b-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-15b-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-16-1-3p,0,0,0,0,0,0,0,0
hsa-mir-16-1-3p_-_3,0,0,0,0,0,0,0,0
hsa-mir-16-1-3p_+_1,0,0,0,0,0,0,0,0
hsa-mir-16-1-3p_+_3,0,0,0,0,0,0,0,0
hsa-mir-16-1-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-16-1-3p_+_6,0,0,0,0,0,0,0,0
hsa-mir-16-1-5p,45393.54899,30007.92137,23220.36062,44183.01556,26269.04293,13768.00834,35604.18127,19350.90225
hsa-mir-16-1-5p_+_1,55.29055906,72.66640287,36.87644617,58.44314228,45.80478279,0,0,0
hsa-mir-16-1-5p_+_2,0,49.54527469,0,0,19.37894657,0,0,0
hsa-mir-16-1-5p_+_3,78.328292,102.3935677,45.72679325,0,41.40047676,24.16234874,45.5190602,33.21017068
hsa-mir-16-1-5p_+_4,0,82.57545781,0,61.51909714,31.71100347,18.12176155,91.0381204,0
hsa-mir-16-1-5p_+_5,0,0,0,0,9.689473283,0,0,0
hsa-mir-16-1-5p_+_6,119.7962113,62.75734794,14.75057847,86.12673599,40.51961555,27.18264233,57.93334934,45.16583213
hsa-mir-16-1-5p_+_7,119.7962113,39.63621975,0,101.5065103,29.06841985,0,66.20954211,0
hsa-mir-16-1-5p_+_8,59.89810565,52.848293,30.97621478,67.67100685,31.71100347,0,182.0762408,57.12149358
hsa-mir-16-2-3p,124.4037579,46.24225637,0,46.13932285,22.9023914,28.69278913,128.2809878,0
hsa-mir-16-2-3p_-_1,884.648945,412.8772891,532.4958826,842.8116308,356.7487891,339.7830291,1229.014625,896.6746085
hsa-mir-16-2-3p_-_2,0,0,44.2517354,95.35460056,13.21291811,0,49.65715658,0
hsa-mir-16-2-3p_+_1,0,0,23.60092555,0,0,0,0,0
hsa-mir-16-2-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-16-2-3p_+_5,0,0,0,0,0,0,0,0
hsa-mir-16-2-5p,45416.58672,29892.31573,23167.25854,44179.93961,26238.21279,13751.39673,35604.18127,19358.8727
hsa-mir-16-2-5p_-_1,0,46.24225637,51.62702463,39.98741314,13.21291811,0,45.5190602,78.37600281
hsa-mir-16-2-5p_-_2,0,0,0,0,0,0,0,0
hsa-mir-16-2-5p_+_1,55.29055906,72.66640287,36.87644617,58.44314228,45.80478279,0,0,0
hsa-mir-16-2-5p_+_2,0,49.54527469,0,0,19.37894657,0,0,0
hsa-mir-16-2-5p_+_3,78.328292,102.3935677,45.72679325,0,41.40047676,24.16234874,45.5190602,33.21017068
hsa-mir-16-2-5p_+_4,0,82.57545781,0,61.51909714,31.71100347,18.12176155,91.0381204,0
hsa-mir-16-2-5p_+_5,0,0,0,0,9.689473283,0,0,0
hsa-mir-16-2-5p_+_6,119.7962113,62.75734794,14.75057847,86.12673599,40.51961555,27.18264233,57.93334934,45.16583213
hsa-mir-16-2-5p_+_7,119.7962113,39.63621975,0,101.5065103,29.06841985,0,66.20954211,0
hsa-mir-16-2-5p_+_8,59.89810565,52.848293,30.97621478,67.67100685,31.71100347,0,182.0762408,57.12149358
hsa-mir-17-3p,446.9320191,184.9690255,203.5579828,649.0264748,230.7856364,126.8523309,496.5715658,115.571394
hsa-mir-17-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-17-3p_+_1,0,0,0,0,0,0,57.93334934,0
hsa-mir-17-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-17-3p_+_3,0,0,0,0,0,0,0,0
hsa-mir-17-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-17-3p_+_5,0,0,0,0,0,0,66.20954211,0
hsa-mir-17-3p_+_6,0,0,0,0,0,0,0,0
hsa-mir-17-3p_+_7,0,0,0,0,0,0,0,0
hsa-mir-17-5p,1041.305529,465.7255821,349.5887097,1091.963974,302.1353942,522.5107915,1233.152722,337.4153342
hsa-mir-17-5p_-_1,0,0,0,36.91145828,20.25980777,0,0,35.86698434
hsa-mir-17-5p_+_1,0,0,0,0,0,0,0,0
hsa-mir-17-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-17-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-17-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-181a-1-3p,1142.671554,1743.993669,1132.844426,1784.053817,547.8956711,456.0643324,2656.657877,1501.099715
hsa-mir-181a-1-3p_-_1,0,0,0,33.83550343,13.21291811,0,177.9381444,0
hsa-mir-181a-1-3p_-_2,0,0,29.50115693,33.83550343,0,0,0,21.25450924
hsa-mir-181a-1-3p_-_5,0,0,0,0,0,0,0,0
hsa-mir-181a-1-3p_-_6,0,0,0,0,0,0,0,0
hsa-mir-181a-1-3p_+_1,0,0,0,0,0,0,62.07144572,19.92610241
hsa-mir-181a-1-3p_+_2,0,0,0,0,0,0,49.65715658,0
hsa-mir-181a-1-3p_+_3,0,0,0,0,0,0,0,0
hsa-mir-181a-1-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-181a-1-3p_+_5,0,0,0,0,0,0,0,0
hsa-mir-181a-1-3p_+_6,0,0,0,0,0,0,0,0
hsa-mir-181a-1-3p_+_7,0,0,0,0,0,0,0,0
hsa-mir-181a-1-5p,73259.99076,99704.91078,114381.8857,103247.5007,48355.75685,54175.00617,83904.04223,122048.7057
hsa-mir-181a-1-5p_-_1,55.29055906,125.5146959,128.3300327,55.36718742,40.51961555,72.48704622,91.0381204,100.9589189
hsa-mir-181a-1-5p_-_2,0,0,0,0,0,0,0,0
hsa-mir-181a-1-5p_+_1,59.89810565,171.7569522,129.8050905,150.721788,54.61339487,21.14205515,223.4572046,119.5566145
hsa-mir-181a-1-5p_+_2,0,0,20.65080985,0,0,0,0,0
hsa-mir-181a-1-5p_+_3,64.50565224,52.848293,29.50115693,52.29123257,40.51961555,0,0,53.13627309
hsa-mir-181a-1-5p_+_4,0,0,0,0,8.808612076,0,0,0
hsa-mir-181a-1-5p_+_5,0,0,0,0,0,0,0,0
hsa-mir-181a-1-5p_+_6,0,0,0,0,13.21291811,0,0,0
hsa-mir-181a-1-5p_+_7,0,36.33320144,20.65080985,0,36.11530951,0,0,0
hsa-mir-181a-1-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-181a-2-5p,73259.99076,99701.60776,114380.4106,103247.5007,48355.75685,54175.00617,83904.04223,122048.7057
hsa-mir-181a-2-5p_-_1,55.29055906,125.5146959,128.3300327,55.36718742,40.51961555,72.48704622,91.0381204,100.9589189
hsa-mir-181a-2-5p_+_1,59.89810565,171.7569522,129.8050905,150.721788,54.61339487,21.14205515,223.4572046,119.5566145
hsa-mir-181a-2-5p_+_2,0,0,20.65080985,0,0,0,0,0
hsa-mir-181a-2-5p_+_3,64.50565224,52.848293,29.50115693,52.29123257,40.51961555,0,0,53.13627309
hsa-mir-181a-2-5p_+_4,0,0,0,0,8.808612076,0,0,0
hsa-mir-181a-2-5p_+_5,0,0,0,0,0,0,0,0
hsa-mir-181a-2-5p_+_6,0,0,0,0,13.21291811,0,0,0
hsa-mir-181a-2-5p_+_7,0,36.33320144,20.65080985,0,36.11530951,0,0,0
hsa-mir-181a-2-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-181b-1-3p,0,39.63621975,0,0,0,0,293.8048431,0
hsa-mir-181b-1-3p_+_1,0,0,0,0,0,0,0,0
hsa-mir-181b-1-5p,5819.331341,5819.918266,9177.809922,7213.114139,3171.100347,4130.251487,7597.544957,7384.613553
hsa-mir-181b-1-5p_-_1,0,75.96942119,38.35150401,0,0,0,0,31.88176386
hsa-mir-181b-1-5p_+_1,230.3773294,122.2116776,196.1826936,227.6206594,303.0162554,69.46675262,86.90002401,232.4711948
hsa-mir-181b-1-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-181b-1-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-181b-1-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-181b-1-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-181b-2-5p,5957.557739,6070.947658,9484.621954,7379.215702,3246.854411,4279.75602,7862.383125,7546.679186
hsa-mir-181b-2-5p_-_1,46.07546588,75.96942119,38.35150401,0,0,0,0,31.88176386
hsa-mir-181b-2-5p_+_1,230.3773294,112.3026226,234.5341976,227.6206594,319.7526183,69.46675262,82.76192763,229.8143811
hsa-mir-181b-2-5p_+_2,0,0,0,0,15.85550174,0,0,0
hsa-mir-181b-2-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-181b-2-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-181b-2-5p_+_5,0,0,0,0,0,0,0,0
hsa-mir-181b-2-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-181b-2-5p_+_7,0,0,0,0,0,0,53.79525296,0
hsa-mir-181c-3p,0,0,23.60092555,0,17.61722415,0,0,14.6124751
hsa-mir-181c-3p_+_1,469.969752,383.1501242,224.2087927,221.4687497,840.341592,270.3162765,521.4001441,419.7765574
hsa-mir-181c-3p_+_3,0,0,0,0,0,0,0,0
hsa-mir-181c-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-181c-3p_+_6,0,0,0,0,0,0,0,0
hsa-mir-181c-3p_+_7,0,0,0,0,0,0,0,0
hsa-mir-181c-5p,4713.52016,3970.228012,4301.268681,4275.577251,9652.477112,2946.296399,3579.45337,4107.43391
hsa-mir-181c-5p_-_1,0,0,0,0,0,0,0,0
hsa-mir-181c-5p_+_1,0,0,0,0,0,0,0,0
hsa-mir-181c-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-181c-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-181c-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-181c-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-181d,594.3735099,779.5123217,413.0161971,676.7100685,1122.217178,632.7515076,604.1620717,956.4529157
hsa-mir-181d_+_1,0,0,0,0,13.21291811,0,0,0
hsa-mir-181d_+_2,0,0,0,0,0,0,0,0
hsa-mir-181d_+_3,0,0,0,0,0,0,0,0
hsa-mir-181d_+_5,0,0,0,0,0,0,0,0
hsa-mir-182-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-182-5p,15158.82828,18463.87237,21137.57894,9227.864571,1353.883676,28969.14599,12310.83674,6409.562942
hsa-mir-182-5p_-_1,0,0,38.35150401,0,0,0,53.79525296,0
hsa-mir-182-5p_+_1,0,102.3935677,64.90254525,0,0,123.8320373,0,23.91132289
hsa-mir-182-5p_+_2,0,0,26.55104124,0,0,0,0,0
hsa-mir-182-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-182-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-182-5p_+_5,0,0,0,0,0,22.65220194,0,0
hsa-mir-182-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-182-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-183-3p,0,0,0,0,0,0,0,0
hsa-mir-183-3p_+_1,0,0,0,0,0,0,91.0381204,0
hsa-mir-183-5p,456.1471123,574.7251864,479.3938002,442.9374994,30.83014226,1153.752152,405.5334454,204.5746514
hsa-mir-183-5p_-_1,0,0,0,0,0,0,0,0
hsa-mir-183-5p_-_2,0,0,0,0,0,0,0,0
hsa-mir-183-5p_+_1,244.1999692,330.3018312,233.0591398,119.9622394,0,475.6962408,285.5286503,55.79308675
hsa-mir-183-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-183-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-183-5p_+_5,0,0,0,0,0,0,0,0
hsa-mir-183-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-183-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-184,0,0,0,0,0,19.63190835,442.7763128,39.85220482
hsa-mir-185-3p,0,39.63621975,0,0,0,24.16234874,82.76192763,51.80786627
hsa-mir-185-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-185-5p,0,0,57.52725602,61.51909714,0,28.69278913,0,18.59769558
hsa-mir-185-5p_+_1,0,0,0,0,0,0,0,0
hsa-mir-185-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-185-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-186-3p,0,0,0,0,0,0,0,0
hsa-mir-186-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-186-3p_+_3,0,0,0,0,0,0,0,0
hsa-mir-186-5p,30474.31314,31533.91583,26223.5784,25847.24866,28121.49405,25988.11621,29392.8986,27693.29713
hsa-mir-186-5p_-_1,55.29055906,0,53.10208248,67.67100685,125.9631527,104.2001289,111.7286023,47.82264579
hsa-mir-186-5p_+_1,221.1622362,303.8776847,362.8642303,338.3550343,290.6841985,220.4814322,1630.409974,370.6255048
hsa-mir-186-5p_+_2,0,0,0,0,17.61722415,0,0,0
hsa-mir-186-5p_+_3,0,0,0,0,9.689473283,0,0,0
hsa-mir-186-5p_+_4,0,0,0,0,0,0,91.0381204,0
hsa-mir-186-5p_+_5,0,0,19.17575201,0,9.689473283,39.2638167,165.5238553,39.85220482
hsa-mir-186-5p_+_6,0,0,0,0,9.689473283,0,57.93334934,0
hsa-mir-186-5p_+_8,0,0,0,0,0,0,53.79525296,0
hsa-mir-187-3p,0,0,0,0,140.056932,0,0,0
hsa-mir-187-3p_-_1,0,0,0,0,9.689473283,0,0,0
hsa-mir-187-3p_+_1,0,0,0,0,13.21291811,0,0,0
hsa-mir-188-3p,0,0,0,0,0,0,0,0
hsa-mir-188-5p,59.89810565,85.87847612,0,33.83550343,10.57033449,0,70.34763849,0
hsa-mir-188-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-18a-3p,0,0,53.10208248,156.8736977,16.73636294,78.5276334,161.3857589,34.53857751
hsa-mir-18a-3p_+_1,0,0,0,0,0,0,0,0
hsa-mir-18a-5p,133.6188511,138.7267691,116.5295699,289.1397566,49.32822762,72.48704622,211.0429155,99.63051205
hsa-mir-18a-5p_+_1,0,0,0,0,0,0,0,0
hsa-mir-18b-5p,0,0,0,0,19.37894657,0,0,0
hsa-mir-1909-5p_-_1,0,0,0,0,0,0,0,0
hsa-mir-190a,73.72074541,0,54.57714033,76.89887142,65.18372936,160.0755604,0,66.42034137
hsa-mir-190a_+_2,0,0,0,0,0,0,0,0
hsa-mir-190a_+_5,0,0,0,0,0,0,0,0
hsa-mir-190b,0,0,0,58.44314228,0,0,0,38.52379799
hsa-mir-190b_+_8,0,0,0,0,0,0,0,0
hsa-mir-191-3p,0,0,20.65080985,49.21527771,16.73636294,24.16234874,0,57.12149358
hsa-mir-191-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-191-3p_-_4,0,0,0,0,0,0,0,0
hsa-mir-191-3p_+_1,0,42.93923806,0,0,11.4511957,43.79425709,0,42.50901848
hsa-mir-191-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-191-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-191-5p,51185.23505,83781.05949,83007.40526,51251.55983,25161.80039,163526.2458,68208.24266,60089.15443
hsa-mir-191-5p_-_1,0,0,30.97621478,0,0,0,0,0
hsa-mir-191-5p_+_1,2455.822332,3679.5624,3366.082006,2319.269962,1617.261177,7452.574439,3463.586671,3310.389814
hsa-mir-191-5p_+_2,55.29055906,105.696586,126.8549748,52.29123257,15.85550174,75.50733981,0,22.58291607
hsa-mir-191-5p_+_3,78.328292,128.8177142,82.60323941,46.13932285,16.73636294,51.34499107,0,27.89654337
hsa-mir-191-5p_+_4,0,39.63621975,0,0,0,36.24352311,78.62383125,0
hsa-mir-191-5p_+_5,0,0,16.22563631,0,14.09377932,102.6899821,78.62383125,22.58291607
hsa-mir-191-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-191-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-1910,0,0,0,0,0,0,0,0
hsa-mir-1914-5p,0,0,0,0,0,0,0,0
hsa-mir-192-3p,165.8716772,42.93923806,228.6339662,36.91145828,0,87.58851418,177.9381444,0
hsa-mir-192-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-192-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-192-3p_-_3,0,0,0,0,0,0,0,0
hsa-mir-192-3p_-_4,0,0,17.70069416,0,0,0,0,0
hsa-mir-192-3p_-_5,0,0,0,0,0,0,0,0
hsa-mir-192-3p_+_1,0,0,0,0,0,0,0,0
hsa-mir-192-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-192-3p_+_3,0,0,25.07598339,0,0,0,0,0
hsa-mir-192-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-192-3p_+_8,0,0,0,0,0,0,0,0
hsa-mir-192-5p,676751.8354,545675.1403,2284748.075,248684.7983,5968.715542,2838536.854,2087226.848,514393.6621
hsa-mir-192-5p_-_1,1506.667734,1255.146959,4290.943276,553.6718742,9.689473283,3785.938018,3422.205708,1029.515291
hsa-mir-192-5p_-_2,0,0,87.02841295,0,0,0,91.0381204,18.59769558
hsa-mir-192-5p_-_3,0,0,0,0,0,0,0,0
hsa-mir-192-5p_-_4,0,0,0,0,0,0,0,0
hsa-mir-192-5p_+_1,357379.7436,205091.0131,937623.4703,117181.5762,1909.707098,1070666.896,941305.1982,186182.8589
hsa-mir-192-5p_+_2,156.656584,284.0595749,672.6263781,0,0,1153.752152,492.4334694,171.3644807
hsa-mir-192-5p_+_3,0,0,156.3561317,0,0,282.3974509,0,61.10671406
hsa-mir-192-5p_+_4,55.29055906,0,92.92864434,0,0,51.34499107,0,0
hsa-mir-192-5p_+_5,165.8716772,0,60.47737171,0,0,90.60880777,103.4524095,34.53857751
hsa-mir-192-5p_+_6,0,0,19.17575201,0,0,15.10146796,0,0
hsa-mir-192-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-192-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-193a-3p,317.9207146,122.2116776,19.17575201,249.1523434,717.9018842,0,70.34763849,33.21017068
hsa-mir-193a-5p,0,0,0,0,23.7832526,0,107.5905059,0
hsa-mir-193a-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-193a-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-193b-3p,336.350901,188.2720438,88.5034708,630.5707457,410.4813227,61.91601864,186.2143372,123.5418349
hsa-mir-193b-3p_+_1,0,0,0,0,19.37894657,0,0,0
hsa-mir-193b-5p,0,62.75734794,0,0,22.02153019,0,0,130.1838691
hsa-mir-193b-5p_-_1,0,0,0,0,0,0,0,0
hsa-mir-194-1-5p,42813.3229,21344.10433,106143.6876,15379.77428,226.3813303,25062.39623,83862.66127,6631.406882
hsa-mir-194-1-5p_-_1,0,0,17.70069416,0,0,0,0,0
hsa-mir-194-1-5p_+_1,82.93583859,59.45432962,162.2563631,0,0,43.79425709,107.5905059,0
hsa-mir-194-1-5p_+_2,0,33.03018312,87.02841295,0,0,45.30440388,57.93334934,31.88176386
hsa-mir-194-1-5p_+_3,55.29055906,0,20.65080985,0,0,24.16234874,0,0
hsa-mir-194-1-5p_+_4,55.29055906,0,44.2517354,0,0,15.10146796,57.93334934,0
hsa-mir-194-1-5p_+_5,50.68301247,0,87.02841295,0,0,0,74.48573487,0
hsa-mir-194-1-5p_+_6,0,0,85.55335511,0,0,0,0,0
hsa-mir-194-1-5p_+_7,0,0,38.35150401,0,0,0,0,0
hsa-mir-194-1-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-194-2-3p,221.1622362,125.5146959,678.5266095,55.36718742,0,413.7802221,140.695277,135.4974964
hsa-mir-194-2-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-194-2-3p_-_3,0,0,0,0,0,0,0,0
hsa-mir-194-2-3p_-_6,0,0,0,0,0,0,0,0
hsa-mir-194-2-3p_-_8,0,0,0,0,0,0,0,0
hsa-mir-194-2-3p_+_1,0,0,28.02609909,0,0,21.14205515,0,0
hsa-mir-194-2-3p_+_2,0,0,0,0,0,18.12176155,0,0
hsa-mir-194-2-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-194-2-3p_+_5,0,0,0,0,0,0,0,0
hsa-mir-194-2-5p,27341.18146,10467.26503,32840.6879,10230.62585,233.42822,15504.67716,40743.69697,4181.824693
hsa-mir-194-2-5p_-_1,142.8339442,0,150.4559004,0,0,48.32469748,82.76192763,0
hsa-mir-194-2-5p_-_2,0,0,0,0,0,19.63190835,0,0
hsa-mir-194-2-5p_-_3,0,0,0,0,0,0,0,0
hsa-mir-194-2-5p_+_1,0,0,57.52725602,0,0,25.67249553,0,0
hsa-mir-194-2-5p_+_2,0,0,28.02609909,0,0,0,0,0
hsa-mir-194-2-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-194-2-5p_+_4,0,0,0,0,0,0,0,0
hsa-mir-194-2-5p_+_5,0,0,20.65080985,0,0,0,0,0
hsa-mir-194-2-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-194-2-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-195-3p,281.0603419,171.7569522,224.2087927,156.8736977,645.6712651,471.1658004,99.31431316,445.0162872
hsa-mir-195-3p_+_1,0,0,0,0,0,0,0,0
hsa-mir-195-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-195-5p,2391.316679,2170.083031,1697.791581,1719.458765,8473.003956,2941.765959,1427.643252,1641.910839
