ens,gene,MS1c,MS2c,MS3c,MS4c,MS5c,MS6c
ENSMUSG00000000001,Gnai3,1053.7370589705042,1000.2622199207034,1162.1404293489722,730.0049370572435,786.133233998021,720.9094313802103
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,36.44321584830464,37.9482652542046,45.826165773804654,11.521389374364482,30.090313058439968,33.04450236204791
ENSMUSG00000000031,H19,13.423243140623224,22.677032321473792,18.03710991372566,3.051057100629976,3.2587840942271007,0.9611573981335164
ENSMUSG00000000037,Scml2,3.3033039641230832,0.8429009473919801,9.19987977031438,1.0286920657188992,0,0
ENSMUSG00000000049,Apoh,5.22431059845723,0.5678101852025201,0.6970491793793022,4.3590644265906775,0.8573987031118903,0
ENSMUSG00000000056,Narf,177.72082895865825,286.7348764838756,291.3329278996508,276.32094815245864,115.84917017763773,165.5597204249031
ENSMUSG00000000058,Cav2,0,0,0,0.9529829623436236,1.1738140454155956,2.3185323339776724
ENSMUSG00000000078,Klf6,498.01520656379233,755.1620751716426,981.1814190398095,435.36812137679834,637.272313111951,619.9939165434422
ENSMUSG00000000085,Scmh1,16.61721693998344,15.395588919105839,18.69556989619211,17.08251488061391,33.00183898352906,37.65029262866457
ENSMUSG00000000088,Cox5a,455.11318836033655,843.8426575450513,743.2113725146703,552.8865866791209,623.363964896989,753.987277562483
ENSMUSG00000000093,Tbx2,3.634278894629331,4.685847172820286,1.4413638783510623,9.996482543426701,3.521102473050399,11.407613862797085
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0,0,0.7223403353382281,0,0,0
ENSMUSG00000000125,Wnt3,72.66295613830395,21.080676179713855,19.449805061244394,21.43340002893911,22.00901239372239,11.411578767647873
ENSMUSG00000000126,Wnt9a,0,1.7563376888073166,4.321579174866087,1.427965716320654,0.8800112352416573,1.036874113198099
ENSMUSG00000000127,Fer,27.00778464238296,49.32579816508283,60.156601104880075,18.413912665624796,35.40930812488958,41.13399443649983
ENSMUSG00000000131,Xpo6,961.1625105017057,333.79720943201875,380.28668543129265,679.5635629210426,550.0490838984636,354.23738931276466
ENSMUSG00000000134,Tfe3,100.50830843873939,141.05328074483904,122.9557359933304,158.71252660254703,128.78926577360141,152.22624827535574
ENSMUSG00000000142,Axin2,987.895671140764,424.4337907476642,523.8117276213246,573.8884031623664,601.5514960834845,330.6494127679024
ENSMUSG00000000148,Brat1,189.14759538405028,123.15188647128731,103.458292014771,182.5954615822426,165.2540150233476,142.65167278563322
ENSMUSG00000000149,Gna12,136.27098539602613,115.37846326038964,92.23336290465716,142.83501359794155,137.32751608989795,138.98195625350044
ENSMUSG00000000154,Slc22a18,146.27682192564762,206.10286647050913,96.83496901101512,271.4078655647052,165.9371410091544,231.85842078357115
ENSMUSG00000000157,Itgb2l,23.494950178496637,31.19769700354244,36.87382979823903,45.0401187381566,38.14414681383297,27.586844406855988
ENSMUSG00000000159,Igsf5,164.38338792289056,189.50184174870404,227.62228753259757,169.38900187535083,208.65159936547605,237.50569860002258
ENSMUSG00000000167,Pih1d2,0,2.558229853837695,4.260375217147749,0,1.896210284105136,2.240620861821903
ENSMUSG00000000168,Dlat,604.3024410391882,726.4843627169644,792.5489906542717,795.4383497278105,654.4482298941255,696.9175022669638
ENSMUSG00000000171,Sdhd,353.08809814276646,714.169706243716,568.6318422088947,526.1240533032791,471.4609960888494,644.4810719070126
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0
