,PB119_E1_ACAGTG_L004_R1,PB217_G1_CAACTA_L002_R1,PB220_G1_CTTGTA_L005_R1,PNIBD01_E,PNIBD46_A_S22_L006_R1_001,PNIBD51_E,PNIBD52_E_S58_L007_R1_001
hsa-let-7d-3p_+_3,0,0,0,0,0,0,0
hsa-let-7d-3p_+_4,0,0,0,0,0,0,0
hsa-let-7d-3p_+_5,0,0,0,0,0,0,0
hsa-let-7d-5p,4307.528136,5209.586655,5600.780919,4214.683267,3282.575248,4051.539714,1771.470292
hsa-let-7d-5p_-_1,0,0,8.290434856,0,0,0,0
hsa-let-7d-5p_+_1,0,0,7.106087019,23.7580793,0,0,0
hsa-let-7d-5p_+_2,46.43024069,44.84579617,42.0443482,0,0,58.11797979,0
hsa-let-7d-5p_+_3,0,0,0,0,0,0,0
hsa-let-7d-5p_+_4,0,0,0,0,0,0,0
hsa-let-7d-5p_+_5,0,0,0,12.35420123,0,0,0
hsa-let-7d-5p_+_6,0,0,0,0,0,0,0
hsa-let-7e-3p,0,0,21.31826106,32.31098785,0,0,0
hsa-let-7e-3p_-_1,0,0,0,0,0,0,0
hsa-let-7e-3p_-_2,0,0,0,0,0,0,0
hsa-let-7e-3p_+_1,0,0,0,24.70840247,0,0,0
hsa-let-7e-3p_+_2,0,0,0,0,0,0,0
hsa-let-7e-5p,3594.599279,7414.504966,4329.383516,25551.33912,4339.294678,38796.53799,5104.6315
hsa-let-7e-5p_-_1,0,0,5.921739183,66.52262203,0,18.31114432,0
hsa-let-7e-5p_-_2,0,0,0,0,0,0,0
hsa-let-7e-5p_+_1,0,0,8.882608774,0,0,60.50638992,0
hsa-let-7e-5p_+_2,0,59.79439489,0,10.45355489,0,51.74888611,0
hsa-let-7e-5p_+_3,0,0,0,29.46001833,0,19.90341774,0
hsa-let-7e-5p_+_4,0,0,0,0,0,0,0
hsa-let-7e-5p_+_5,0,0,0,11.40387806,0,0,0
hsa-let-7f-1-3p,59.90998798,67.26869425,49.15043522,50.36712811,54.6025237,49.36047599,0
hsa-let-7f-1-3p_-_2,0,0,0,0,0,0,0
hsa-let-7f-1-3p_-_4,0,0,0,0,0,0,0
hsa-let-7f-1-5p,62423.21198,133259.2833,74856.11283,362228.0312,89140.2259,353317.5103,57293.07866
hsa-let-7f-1-5p_-_1,22.46624549,85.95444265,46.78173954,346.8679578,64.23826318,174.3539394,0
hsa-let-7f-1-5p_-_2,0,0,0,0,0,0,0
hsa-let-7f-1-5p_+_1,65.90098678,321.3948725,136.2000012,240.4317625,134.9003527,326.4160509,46.61763927
hsa-let-7f-1-5p_+_2,20.96849579,112.1144904,52.11130481,76.02585375,32.11913159,35.03001522,54.38724581
hsa-let-7f-1-5p_+_3,37.44374249,67.26869425,41.45217428,78.87682327,44.96678422,112.255276,0
hsa-let-7f-1-5p_+_4,20.96849579,93.42874201,18.94956538,30.4103415,0,64.48707347,0
hsa-let-7f-1-5p_+_5,26.95949459,0,8.882608774,15.20517075,0,0,0
hsa-let-7f-1-5p_+_6,0,0,0,0,0,0,0
hsa-let-7f-1-5p_+_7,0,0,0,0,0,0,0
hsa-let-7f-2-3p,149.77497,142.0116879,115.4739141,77.9265001,147.7480053,182.3153065,202.0097702
hsa-let-7f-2-3p_-_1,0,0,0,0,0,0,0
hsa-let-7f-2-3p_-_6,0,0,0,0,0,0,0
hsa-let-7f-2-3p_+_3,0,0,0,0,0,0,0
hsa-let-7f-2-5p,66799.6366,139821.7181,80500.12245,384103.5203,94198.98912,374527.3884,60214.45072
hsa-let-7f-2-5p_-_1,62.90548738,168.1717356,104.2226096,545.4855007,86.72165529,541.3729624,50.50244254
hsa-let-7f-2-5p_-_2,0,0,0,0,0,0,0
hsa-let-7f-2-5p_+_1,68.89648618,325.1320222,142.7139143,248.0343479,157.3837448,355.0769724,54.38724581
hsa-let-7f-2-5p_+_2,20.96849579,112.1144904,47.96608738,76.02585375,0,35.03001522,54.38724581
hsa-let-7f-2-5p_+_3,37.44374249,74.74299361,43.82086995,78.87682327,44.96678422,111.4591393,0
hsa-let-7f-2-5p_+_4,20.96849579,93.42874201,20.13391322,31.36066467,0,64.48707347,0
hsa-let-7f-2-5p_+_5,0,0,7.698260937,0,0,0,0
hsa-let-7f-2-5p_+_6,0,0,0,0,0,0,0
hsa-let-7f-2-5p_+_7,0,0,0,0,0,0,0
hsa-let-7f-2-5p_+_8,0,0,0,0,0,0,0
hsa-let-7g-3p,55.41673888,52.32009553,66.91565276,27.55937199,41.75487107,0,85.46567199
hsa-let-7g-3p_-_2,0,0,0,0,0,0,0
hsa-let-7g-5p,27742.81768,31515.38326,35149.66727,37808.60739,37633.98648,28115.56789,22897.03049
hsa-let-7g-5p_-_1,148.2772203,149.4859872,153.9652187,109.2871648,189.5028764,54.93343295,58.27204909
hsa-let-7g-5p_-_2,0,0,0,16.15549392,0,0,0
hsa-let-7g-5p_+_1,0,63.53154457,39.0834786,72.22456107,61.02635002,43.78751902,0
hsa-let-7g-5p_+_2,25.46174489,63.53154457,16.58086971,0,0,0,0
hsa-let-7g-5p_+_3,0,0,14.21217404,0,0,0,42.732836
hsa-let-7g-5p_+_4,0,0,0,0,0,0,0
hsa-let-7g-5p_+_5,0,0,0,0,0,0,0
hsa-let-7g-5p_+_6,0,0,0,0,0,0,0
hsa-let-7g-5p_+_8,0,0,0,0,0,0,0
hsa-let-7i-3p,223.1647052,257.8633279,185.3504364,29.46001833,118.8407869,0,291.3602454
hsa-let-7i-3p_-_4,0,0,0,0,0,0,0
hsa-let-7i-3p_+_1,0,0,0,0,0,0,0
hsa-let-7i-5p,43767.24172,33443.75249,43296.20386,44470.37283,49222.56916,40759.81111,108568.5971
hsa-let-7i-5p_-_1,0,0,10.65913053,48.46648177,57.81443686,37.41842534,128.198508
hsa-let-7i-5p_-_2,0,0,0,0,0,0,0
hsa-let-7i-5p_+_1,61.40773768,63.53154457,57.44087007,39.91357322,48.17869738,24.68023799,0
hsa-let-7i-5p_+_2,74.88748498,63.53154457,45.59739171,26.60904881,54.6025237,0,85.46567199
hsa-let-7i-5p_+_3,29.95499399,59.79439489,36.12260901,23.7580793,35.33104475,31.84546838,46.61763927
hsa-let-7i-5p_+_4,16.47524669,71.00584393,40.86000036,12.35420123,0,11.94205064,0
hsa-let-7i-5p_+_5,32.95049339,0,28.42434808,0,0,0,50.50244254
hsa-let-7i-5p_+_6,26.95949459,0,21.31826106,0,0,0,50.50244254
hsa-let-7i-5p_+_7,0,0,0,0,0,0,0
hsa-mir-1-1,0,0,0,0,0,11.94205064,0
hsa-mir-1-1_+_1,0,0,0,0,0,0,0
hsa-mir-1-1_+_2,0,0,0,0,0,0,0
hsa-mir-1-2,0,0,0,0,0,11.94205064,0
hsa-mir-1-2_+_1,0,0,0,0,0,0,0
hsa-mir-1-2_+_2,0,0,0,0,0,0,0
hsa-mir-100-3p,0,0,7.698260937,0,0,58.11797979,0
hsa-mir-100-3p_-_5,0,0,0,0,0,0,0
hsa-mir-100-3p_+_4,0,0,0,0,0,0,0
hsa-mir-100-5p,3479.272552,4473.368167,4267.205255,14520.93807,9198.919287,25090.2484,39112.19935
hsa-mir-100-5p_-_1,0,0,0,0,0,0,0
hsa-mir-100-5p_+_1,29.95499399,48.58294585,58.03304399,74.12520741,86.72165529,279.443985,178.7009505
hsa-mir-100-5p_+_2,0,0,0,26.60904881,0,26.27251141,62.15685236
hsa-mir-100-5p_+_3,0,82.21729297,19.5417393,31.36066467,0,58.9141165,42.732836
hsa-mir-100-5p_+_4,0,0,26.64782632,44.66518908,51.39061054,136.935514,73.81126217
hsa-mir-100-5p_+_5,17.97299639,0,15.98869579,36.11228053,0,22.29182786,0
hsa-mir-100-5p_+_6,0,0,0,0,0,0,0
hsa-mir-100-5p_+_7,0,0,0,0,0,0,0
hsa-mir-101-1-3p,7828.737679,8655.23866,12070.87315,12319.03928,7769.617931,10252.64854,5866.052941
hsa-mir-101-1-3p_-_1,3253.112347,3546.555047,4560.331344,2987.816053,3346.813512,2757.817562,2664.975045
hsa-mir-101-1-3p_-_2,0,0,0,0,0,14.33046077,0
hsa-mir-101-1-3p_-_6,0,0,0,0,0,0,0
hsa-mir-101-1-3p_-_8,0,0,0,0,0,0,0
hsa-mir-101-1-3p_+_1,0,0,24.87130457,64.62197569,0,10.34977722,0
hsa-mir-101-1-3p_+_2,0,0,13.0278262,0,0,17.51500761,0
hsa-mir-101-1-3p_+_3,17.97299639,74.74299361,22.50260889,20.90710978,0,7.961367094,46.61763927
hsa-mir-101-1-3p_+_4,0,44.84579617,14.21217404,20.90710978,0,0,0
hsa-mir-101-1-3p_+_5,0,0,0,0,0,0,0
hsa-mir-101-1-5p,0,52.32009553,37.89913077,0,0,0,0
hsa-mir-101-1-5p_-_1,40.43924189,52.32009553,83.49652247,0,67.45017634,53.34115953,0
hsa-mir-101-2-3p,8125.29212,9070.062274,12568.29924,12989.96744,8077.961595,10420.63339,6068.062711
hsa-mir-101-2-3p_-_1,3254.610097,3554.029346,4573.359171,3006.822516,3366.08499,2776.128706,2703.823078
hsa-mir-101-2-3p_-_2,0,0,0,0,0,14.33046077,0
hsa-mir-101-2-3p_+_1,0,0,24.87130457,64.62197569,0,10.34977722,0
hsa-mir-101-2-3p_+_2,16.47524669,0,11.25130445,0,0,17.51500761,0
hsa-mir-101-2-3p_+_3,17.97299639,74.74299361,22.50260889,20.90710978,0,7.961367094,46.61763927
hsa-mir-101-2-3p_+_4,0,44.84579617,15.98869579,20.90710978,0,0,0
hsa-mir-101-2-3p_+_5,0,0,0,0,0,0,0
hsa-mir-103a-1-3p,6536.179689,5758.947658,5459.251352,4860.903024,7554.41975,3202.061845,2136.6418
hsa-mir-103a-1-3p_-_1,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_-_4,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_-_6,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_+_1,0,0,7.106087019,18.05614027,0,0,0
hsa-mir-103a-1-3p_+_2,44.93249099,0,26.0556524,0,51.39061054,25.4763747,0
hsa-mir-103a-1-3p_+_3,86.86948257,112.1144904,63.95478317,41.81421956,147.7480053,42.99138231,0
hsa-mir-103a-1-3p_+_4,0,0,7.106087019,11.40387806,0,0,0
hsa-mir-103a-1-3p_+_5,17.97299639,0,11.25130445,0,0,0,0
hsa-mir-103a-1-3p_+_6,22.46624549,0,13.0278262,0,32.11913159,0,0
hsa-mir-103a-1-3p_+_7,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_+_8,0,0,0,0,0,0,0
hsa-mir-103a-2-3p,6591.596428,5822.479202,5498.334831,4871.356579,7580.115055,3230.722767,2136.6418
hsa-mir-103a-2-3p_-_1,0,0,0,0,0,0,0
hsa-mir-103a-2-3p_+_1,0,0,7.106087019,18.05614027,0,0,0
hsa-mir-103a-2-3p_+_2,44.93249099,0,28.42434808,0,51.39061054,25.4763747,0
hsa-mir-103a-2-3p_+_3,86.86948257,112.1144904,66.32347884,41.81421956,147.7480053,42.99138231,0
hsa-mir-103a-2-3p_+_4,0,0,7.106087019,11.40387806,0,0,0
hsa-mir-103a-2-3p_+_5,17.97299639,0,11.25130445,0,0,0,0
hsa-mir-103a-2-3p_+_6,22.46624549,41.10864648,13.0278262,0,32.11913159,0,0
hsa-mir-103a-2-3p_+_7,0,0,0,0,0,0,0
hsa-mir-103a-2-3p_+_8,0,0,0,0,0,0,0
hsa-mir-103a-2-5p,0,0,0,0,0,0,0
hsa-mir-106a-5p,20.96849579,0,12.43565228,0,0,0,0
hsa-mir-106a-5p_+_1,0,0,0,0,0,0,0
hsa-mir-106a-5p_+_6,0,0,0,0,0,0,0
hsa-mir-106a-5p_+_7,0,0,0,0,0,0,0
hsa-mir-106b-3p,862.7038269,717.5327386,784.0382678,908.5089524,960.3620345,814.4478538,2140.526603
hsa-mir-106b-3p_-_1,31.45274369,0,36.12260901,62.72132935,0,52.54502282,46.61763927
hsa-mir-106b-3p_-_2,485.2709027,332.6063216,298.4556548,330.7124638,427.1844501,308.1049066,493.3700156
hsa-mir-106b-3p_-_3,0,0,0,0,0,0,0
hsa-mir-106b-3p_-_6,0,0,0,0,0,0,0
hsa-mir-106b-3p_+_1,0,0,8.290434856,0,0,0,0
hsa-mir-106b-3p_+_2,0,0,0,0,0,0,0
hsa-mir-106b-3p_+_3,0,0,0,0,0,0,0
hsa-mir-106b-5p,1491.758701,1476.174124,1150.593923,474.2112628,1397.182224,398.8644914,617.6837203
hsa-mir-106b-5p_-_1,0,0,0,0,0,0,0
hsa-mir-106b-5p_+_1,0,0,0,0,0,0,0
hsa-mir-106b-5p_+_2,0,0,0,0,0,0,0
hsa-mir-106b-5p_+_7,0,0,0,0,0,0,0
hsa-mir-106b-5p_+_8,0,0,0,0,0,0,0
hsa-mir-107,2099.845079,1379.008232,1874.822625,1143.238776,2139.134164,728.4650891,582.7204909
hsa-mir-107_-_1,0,0,0,0,0,0,0
hsa-mir-107_+_1,0,0,0,0,0,0,0
hsa-mir-107_+_2,0,0,0,0,0,0,0
hsa-mir-107_+_3,22.46624549,0,20.72608714,0,54.6025237,0,0
hsa-mir-107_+_4,0,0,0,0,0,0,0
hsa-mir-107_+_5,0,0,0,0,0,0,0
hsa-mir-10a-3p,242.6354513,265.3376273,262.3330458,222.3756222,443.2440159,132.9548305,77.69606545
hsa-mir-10a-3p_-_1,0,0,13.62000012,0,0,0,0
hsa-mir-10a-3p_-_2,0,0,0,0,0,0,0
hsa-mir-10a-3p_-_3,0,0,0,0,0,0,0
hsa-mir-10a-3p_+_1,16.47524669,0,23.09478281,0,57.81443686,0,101.0048851
hsa-mir-10a-3p_+_2,0,0,0,0,0,0,0
hsa-mir-10a-3p_+_3,0,0,0,0,0,0,0
hsa-mir-10a-3p_+_4,0,0,0,0,0,0,0
hsa-mir-10a-5p,363407.9961,293242.924,272776.0328,708630.3306,592960.924,635385.5619,741441.8982
hsa-mir-10a-5p_-_1,2529.699243,2182.495413,1604.791318,4328.722048,4519.161815,4047.559031,7878.381036
hsa-mir-10a-5p_-_2,0,0,17.17304363,0,0,0,0
hsa-mir-10a-5p_-_3,0,0,0,0,0,0,0
hsa-mir-10a-5p_+_1,106815.0153,80524.36416,80265.62158,174042.1857,139066.204,160947.7933,359204.4498
hsa-mir-10a-5p_+_2,717.4221061,852.0701271,627.1121794,1543.324831,1583.473187,1574.758411,3041.800962
hsa-mir-10a-5p_+_3,182.7254633,142.0116879,133.2391316,222.3756222,362.9461869,243.6178331,823.5782937
hsa-mir-10a-5p_+_4,47.92799039,89.69159233,29.60869591,102.6349026,64.23826318,106.6823191,326.3234749
hsa-mir-10a-5p_+_5,133.2997233,179.3831847,76.39043546,117.8400733,250.5292264,145.6930178,644.8773432
hsa-mir-10a-5p_+_6,28.45724429,44.84579617,24.87130457,57.01939032,35.33104475,20.69955445,66.04165563
hsa-mir-10a-5p_+_7,0,0,0,0,0,0,0
hsa-mir-10a-5p_+_8,0,0,0,0,0,0,0
hsa-mir-10b-3p,46.43024069,0,22.50260889,40.86389639,38.54295791,25.4763747,0
hsa-mir-10b-3p_-_1,0,0,0,0,0,0,0
hsa-mir-10b-3p_-_2,0,0,0,0,0,0,0
hsa-mir-10b-3p_-_7,0,0,0,0,0,0,0
hsa-mir-10b-3p_-_8,0,0,0,0,0,0,0
hsa-mir-10b-3p_+_1,40.43924189,0,26.64782632,37.0626037,51.39061054,0,0
hsa-mir-10b-3p_+_2,94.35823107,0,49.15043522,42.76454274,64.23826318,36.62228863,198.1249669
hsa-mir-10b-3p_+_3,0,0,0,0,0,0,0
hsa-mir-10b-3p_+_4,0,0,0,0,0,0,0
hsa-mir-10b-5p,699178.017,289285.2825,334032.2795,1215901.436,393253.7995,883016.7201,1117657.901
hsa-mir-10b-5p_-_1,107.8379784,52.32009553,33.75391334,730.7985192,186.2909632,499.9738535,839.1175068
hsa-mir-10b-5p_-_2,0,0,0,0,0,28.66092154,0
hsa-mir-10b-5p_-_3,0,0,0,0,0,0,0
hsa-mir-10b-5p_+_1,84413.17307,33522.23263,43856.99256,147440.7395,46290.09245,106215.783,258141.2926
hsa-mir-10b-5p_+_2,560.1583876,366.2406687,319.1817419,786.8675864,321.1913159,335.9696914,839.1175068
hsa-mir-10b-5p_+_3,584.1223828,358.7663693,261.7408719,670.9281594,356.5223606,465.739975,1180.980195
hsa-mir-10b-5p_+_4,110.8334778,127.0630891,84.08869639,65.57229886,67.45017634,21.49569116,248.6274094
hsa-mir-10b-5p_+_5,92.86048137,115.8516401,39.67565252,68.42326838,41.75487107,0,167.0465407
hsa-mir-10b-5p_+_6,31.45274369,82.21729297,33.16173942,0,0,0,69.9264589
hsa-mir-10b-5p_+_7,0,0,0,0,0,0,0
hsa-mir-1179,0,0,0,0,0,0,0
hsa-mir-1179_-_2,0,0,0,0,0,0,0
hsa-mir-1180,73.38973528,48.58294585,58.03304399,15.20517075,48.17869738,85.18662791,691.4949825
hsa-mir-1180_+_1,0,0,0,0,0,0,0
hsa-mir-1185-1-3p,23.96399519,0,0,0,0,0,0
hsa-mir-1185-1-3p_-_1,0,0,0,0,0,0,0
hsa-mir-1185-1-5p,0,0,7.106087019,0,0,0,0
hsa-mir-1185-2-3p,0,0,0,0,0,0,0
hsa-mir-1185-2-5p,0,0,7.106087019,0,0,0,0
hsa-mir-1197,0,0,0,0,0,0,0
hsa-mir-122-5p,0,0,0,0,0,0,0
hsa-mir-1224-5p,0,0,11.84347837,11.40387806,0,0,46.61763927
hsa-mir-1225-3p_-_6,0,0,0,0,0,0,0
hsa-mir-1226-3p,0,0,0,0,0,0,0
hsa-mir-1226-5p,0,0,0,0,0,0,0
hsa-mir-1228-3p,0,0,0,0,0,0,0
hsa-mir-1228-3p_-_2,0,0,0,0,0,0,0
hsa-mir-1229,0,0,0,0,0,0,0
hsa-mir-1229_-_2,0,0,0,0,0,0,0
hsa-mir-1229_+_2,0,0,0,0,0,0,0
hsa-mir-1234,0,0,0,0,0,0,0
hsa-mir-1237,0,0,0,0,0,0,0
hsa-mir-1237_+_1,0,0,0,0,0,0,0
hsa-mir-1243_-_1,0,0,0,0,0,0,0
hsa-mir-1245a,0,0,0,0,0,0,0
hsa-mir-1245a_-_2,0,0,0,0,0,0,0
hsa-mir-1245b-3p,0,0,0,0,0,0,0
hsa-mir-1245b-3p_+_1,0,0,0,0,0,0,0
hsa-mir-1245b-5p,0,0,0,0,0,0,0
hsa-mir-1246,0,0,0,0,0,0,0
hsa-mir-1246_-_1,0,0,0,0,0,0,0
hsa-mir-1246_-_2,0,0,0,0,0,0,0
hsa-mir-1246_-_3,0,0,0,0,0,0,0
hsa-mir-1246_+_1,0,0,0,0,0,8.757503804,0
hsa-mir-1247-3p_+_3,0,52.32009553,13.0278262,41.81421956,0,0,155.3921309
hsa-mir-1247-5p,53.91898918,153.2231369,74.02173978,74.12520741,0,166.3925723,322.4386716
hsa-mir-1247-5p_-_1,0,0,0,0,0,0,0
hsa-mir-1247-5p_+_1,0,0,0,0,0,0,0
hsa-mir-1247-5p_+_2,0,0,0,0,0,0,0
hsa-mir-1247-5p_+_3,0,0,0,0,0,0,0
hsa-mir-1247-5p_+_5,0,0,0,0,0,0,0
hsa-mir-1248,223.1647052,1745.248901,52.70347872,127.343305,751.5876792,0,73.81126217
hsa-mir-1248_-_1,0,104.6401911,0,0,0,0,0
hsa-mir-1248_+_1,0,48.58294585,0,0,0,0,0
hsa-mir-1248_+_2,0,0,0,0,0,0,0
hsa-mir-1248_+_3,0,0,0,0,0,0,0
hsa-mir-1248_+_5,0,0,0,0,0,0,0
hsa-mir-1249,0,0,0,0,0,0,0
hsa-mir-1254-1,0,0,0,0,0,0,0
hsa-mir-1254-2,0,0,0,0,0,0,0
hsa-mir-1255a,20.96849579,0,9.474782692,28.50969516,0,0,0
hsa-mir-1255a_+_1,0,0,0,0,0,0,0
hsa-mir-125a-3p,34.44824309,0,36.12260901,48.46648177,0,62.09866334,116.5440982
hsa-mir-125a-3p_+_1,0,0,8.290434856,0,0,17.51500761,0
hsa-mir-125a-5p,15972.0028,24695.08509,13342.86273,51085.57243,25431.92839,67895.33472,129499.9171
hsa-mir-125a-5p_-_1,0,0,0,55.11874397,0,0,0
hsa-mir-125a-5p_+_1,17.97299639,183.1203343,66.91565276,136.8465368,44.96678422,0,128.198508
hsa-mir-125a-5p_+_2,56.91448858,82.21729297,43.22869603,195.7665734,141.324179,126.5857368,330.2082782
hsa-mir-125a-5p_+_3,49.42574008,205.5432324,46.78173954,24.70840247,64.23826318,67.6716203,178.7009505
hsa-mir-125a-5p_+_4,16.47524669,44.84579617,22.50260889,44.66518908,44.96678422,31.04933167,178.7009505
hsa-mir-125a-5p_+_5,0,0,8.882608774,0,0,46.97206586,0
hsa-mir-125a-5p_+_6,0,0,0,0,0,0,0
hsa-mir-125b-1-3p,59.90998798,71.00584393,135.0156534,188.163988,131.6884395,339.1542382,369.0563109
hsa-mir-125b-1-3p_-_1,0,0,0,0,0,0,0
hsa-mir-125b-1-5p,1514.224946,2062.906624,1992.073061,3399.305986,2441.054001,5658.143594,9704.238574
hsa-mir-125b-1-5p_-_1,0,0,0,0,0,0,0
hsa-mir-125b-1-5p_+_1,0,0,10.06695661,24.70840247,0,44.58365573,132.0833113
hsa-mir-125b-1-5p_+_2,0,0,0,0,0,10.34977722,50.50244254
hsa-mir-125b-1-5p_+_3,0,0,0,0,0,0,0
